visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
5776DM,842295,0,Healthy,Bergie Filly 21,15-Apr-21,28-Apr-21,13.00,ALIVE,Survivor,EQ-WARMBLOOD,F,,36,1) Mild urachitis - resolving. 2) Patent urachus - resolved.,,,,BAR,101.31,110,48,2,1,2,No growth,,8.94,12.30,34.70,38.80,13.70,35.40,19.10,,slight,moderate,,,,,,,,,6830.00,,,,5910.00,,720.00,180.00,10.00,10.00,288.00,no,,5.30,300.00,0.0663,181.00,1.80,1.1
963CQ,688523,6,SNS,Phenway,31-Mar-16,7-Apr-16,7.00,ALIVE,Survivor,EQ-WARMBLOOD,M,42.4,24,1) Meconium impaction 2) Angular Limb Deformity; right hind valgus and left hind varus,Yes,No,347,BAR,99.7,102,20,2,2,,,800,9.22,13.30,40.10,43.50,14.40,33.20,18.30,,Slight,,,,,,,,,,6220.00,,,,5517.00,,628.00,75.00,6.00,6.00,316.00,,,4.10,100.00,0.0579,138.00,2.90,1.1
63039FS,689098,13,Septic,Lightnin Juice 16 Colt,5-Jun-16,5-Jun-16,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,144,"1) Diarrhea, fever, hypoglycemia, lymphopenia. Open Etiology.",,,,"Dull, moderately responsive",102.9,100,52,~2,2,,,,8.10,11.90,33.80,41.70,14.70,35.20,18.60,,Slight,Moderate,,,,,,,,,2420.00,,,,1123.00,,1174.00,111.00,5.00,2.00,12.00,NO CLUMPS,,6.00,500.00,1.5500,71.00,2.90,1.2
5972DI,839328,6,SNS,Doris Johnson 2020 Colt,18-May-20,21-May-20,3.00,DIED,Non-Survivor,EQ-THOROUGHBRED,M,53,72,1) Diarrhea (open etiology) 2) Hyperammonemia 3) Meningitis,No,No,339,BAR,101.9,160,60,2,1,2,No growth,,3.82,6.00,17.00,44.50,15.70,35.30,18.20,,Slight,,,,,,,,,,5610.00,,,,3753.00,,864.00,909.00,6.00,79.00,97.00,No,,7.20,400.00,0.1876,149.00,1.30,1.2
497CR,690702,7,SNS,Tyndall (Sophie '16 Colt),9-Jun-16,20-Jun-16,11.00,ALIVE,Survivor,EQ-WARMBLOOD,M,71,24,1) Suspected sepsis.,No,,,BAR,101,72,60,2,1,2,No Growth,>800,10.01,15.10,44.00,44.00,15.10,34.30,18.00,,Slight,,,,,,,,,,11890.00,,357.00,Slight,9155.00,,1665.00,476.00,119.00,119.00,112.00,,,6.70,200.00,0.1607,206.00,1.20,1.2
1600BZ,675562,13,Septic,Pixie,9-May-12,9-May-12,0.00,EUTH,Non-Survivor,EQ-WELSH PONY,F,,120,"1) Acute brain injury, head trauma 2) Cranial fracture",No,,,Comatose,97.5,140,Respiratory Arrest,<2,2,,,,10.51,13.70,38.40,36.50,13.00,35.70,17.90,,Slight,,,,,,,,,,4880.00,,,,3143.00,,1391.00,288.00,20.00,39.00,128.00,,,5.10,400.00,0.1398,237.00,10.50,1.2
8587DD,699016,11,Septic,Boogie,15-Apr-19,19-Apr-19,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,54.5,18,1) Clostridial difficile and perfringens enteritis.,,No,345,QAR,99.7,128,`36,2,1,1,GRAM (-) COCCOBACILLI & GRAM (+) COCCI IN CHAINS. CULTURE: ACINETOBACTER SP. AND STREPTOCOCCUS VIRIDANS GROUP,>800,10.34,14.40,40.50,39.20,13.90,35.60,17.30,,Slight,Many,,,,,,,,,4240.00,,212.00,,2120.00,,1781.00,127.00,0.00,0.00,141.00,,,5.30,400.00,0.1227,158.00,1.80,1.2
63863EM,676674,0,SNS,"Kilham 2012 Foal (The Oaks Smith, Joan T155156)",25-Jun-12,29-Jun-12,4.00,ALIVE,Survivor,EQ-WARMBLOOD,M,,24,1) chyloperitonitis (chylous effusion) 2) Bladder hematoma 3) Orphan,No,No,,BAR,100.1,120,80,<2,1,2,NO GROWTH,,11.28,15.10,41.90,37.10,13.40,36.00,18.60,,Slight,,,,,,,,,,7230.00,,,,6391.00,,730.00,36.00,7.00,51.00,160.00,,,5.60,300.00,0.1163,205.00,2.40,1.2
63164EM,675874,4,SNS,Genuwine (Cool Valley '12 Foal),22-Apr-12,26-Apr-12,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,42.2,72,"1) Meconium impaction; resolved 2) Mild urachitis 3) Increased liver enzymes; improving, open",Yes,No,365,QAR,100.9,74,30,~3,1,2,NO GROWTH,,7.63,11.20,29.70,38.90,14.70,37.70,17.20,,Slight,,,,,,,,,,8340.00,,,,7039.00,,859.00,392.00,8.00,42.00,183.00,,,4.50,200.00,0.0940,120.00,1.20,1.2
68552EM,682681,15,Septic,Coronela '14 Filly,12-May-14,13-May-14,1.00,EUTH,Non-Survivor,EQ-FRIESIAN,F,30,11,1) Premature (309 days) 2) Failure of passive transfer 3) Sepsis- suspect secondary to placentitis; Tarsal joint septic arthritis (E.coli); pneumonia; peritonitis 4) Incomplete Ossification of tarsal bones,,Yes,310,BAR,100.4,120,56,~2,1,2,NO GROWTH,<400,11.11,17.70,53.50,48.20,15.90,33.10,17.80,,Slight,Few,Few,,,,Rare,,,,2270.00,,885.00,MODERATE TOXIC,590.00,"SLIGHT TOXIC, FEW MODERATE",749.00,45.00,0.00,0.00,207.00,,FEW MACROPLATELETS,5.70,200.00,0.0860,137.00,4.60,1.2
71845FS,699945,4,SNS,Gooseberry (Pomelo 2019 Foal),30-Mar-19,30-Mar-19,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,12,1) Adequate passive transfer 2) Mild entropion OS,,No,326-331,BAR,99.9,96,32,2,2,,,800,11.95,16.50,50.50,42.30,13.80,32.70,18.80,,Slight,,,,,,,,,,11140.00,,,,10227.00,,758.00,100.00,22.00,45.00,227.00,,,5.30,300.00,0.0828,,,1.2
72430FS,699266,1,Healthy,Clarenza 2019 Foal,20-May-19,20-May-19,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,36,"1) Apparently healthy colt 2) Historic meconium impaction, apparently resolved",No,,,BAR,101.4,120,60,1,2,,,>800,8.56,11.40,31.10,36.30,13.30,36.70,20.10,,Moderate,,Rare,,,,,,,,10000.00,,,,8730.00,,1140.00,70.00,10.00,50.00,249.00,,,5.30,300.00,0.0807,,,1.2
54775FS,680269,4,SNS,Remi,17-Jul-13,17-Jul-13,0.00,ALIVE,Survivor,EQ-MIX/QUARTER HORSE,F,,96,1) Weak foal. 2) Hypoalbuminemia. 3) Possible meconium impaction. 4) Angular limb deformities.,No,,,BAR,101,114,84,1,2,,,>800,7.08,9.20,26.20,37.00,13.00,35.10,17.30,,Slight,,,,,,,,,,5160.00,,,,3813.00,,986.00,299.00,36.00,26.00,215.00,,,5.00,300.00,0.0805,110.00,,1.2
6766CC,678427,1,SNS,Roxy '13 Colt,4-Apr-13,9-Apr-13,5.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,60,168,"1) Corneal ulcer OD (with bulla and edema, suspect infected)",,,,BAR,102,120,60,1-2s,2,,,,9.00,12.20,32.60,36.20,13.60,37.40,18.80,,Slight,Moderate,,,,,,,,,11680.00,,,,8655.00,,2453.00,444.00,82.00,47.00,235.00,,,5.50,200.00,0.0800,176.00,,1.2
68780FS,694742,3,Healthy,Rabba El Jarzel (Jarzel),20-Apr-18,20-Apr-18,0.00,ALIVE,Survivor,EQ-ARABIAN,M,35,24,1) Apparently healthy,No,No,327,BAR,101.4,100,80,2,2,,,>800,9.71,13.20,38.30,39.40,13.60,34.50,17.20,,Slight,Moderate,,,,,,,,,3930.00,,,,2806.00,,1057.00,35.00,16.00,16.00,218.00,,,4.60,200.00,0.0789,157.00,,1.2
74426EM,690521,0,Healthy,Lazarus (Avina 2016 Colt),4-Jul-16,22-Jul-16,18.00,ALIVE,Survivor,EQ-FRIESIAN,M,52.2,2,1) Carpal contracture 2) Idiopathic/transient tachypnea,No,,,BAR,101,140,80,,2,,,>800,8.59,13.80,40.60,47.30,16.10,34.00,17.70,,Slight,Rare,,,,,,,,,6080.00,,,,4493.00,,1496.00,61.00,12.00,12.00,227.00,,,6.90,200.00,0.0780,154.00,,1.2
661CE,680076,4,SNS,Brechtsje 2013 Colt,24-Jul-13,26-Jul-13,2.00,ALIVE,Survivor,EQ-FRIESIAN,M,,35,1) Aspiration pneumonia 2) Neonatal maladjustment syndrome 3) Failure of passive transfer,No,,,BAR,101.3,100,28,1,2,,,<400,10.75,15.60,44.30,41.20,14.50,35.20,17.30,,Slight,Moderate,,,,,,,,,6140.00,,,,4679.00,,1308.00,104.00,18.00,31.00,229.00,,,4.70,300.00,0.0755,216.00,3.00,1.2
144CU,692551,6,SNS,Follow The Fortunes 17 Colt,15-Feb-17,19-Feb-17,4.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,60,1) Idiopathic hypocalcemia,No,No,351,obtunded,101.3,150,50,2,2,,,,9.44,12.80,37.90,40.10,13.60,33.80,18.90,,slight ,,,,,,,,,,7040.00,,,,6195.00,,655.00,141.00,21.00,35.00,258.00,,,7.00,300.00,0.0733,211.00,4.90,1.2
71349EM,685700,1,SNS,Everything Rosie 2015 Filly,3-May-15,5-May-15,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,14,1) mild maladjustment,No,No,340,BAR,101.9,124,32,1-2 sec,2,,,>800,10.67,15.70,41.50,38.90,14.70,37.80,19.10,,Slight,Many,,,,,,,,,8970.00,,,,7867.00,,1014.00,36.00,18.00,27.00,266.00,,,6.00,400.00,0.0718,152.00,,1.2
4187DE,699372,14,Septic,Valkyrie,26-May-19,9-Jun-19,14.00,ALIVE,Survivor,EQ-GYPSY VANNER HORSE,F,38,36,"1) Klebsiella oxytoca and E.coli bacteremias, multi-drug resistant 2) Right jugular thrombus 3) Clostridium perfringens necrotizing enterocolitis, resolved",No,,,BAR,101.9,160,24,2,1,1,Klebsiella oxytoca,,10.42,14.40,40.90,39.30,13.80,35.20,18.00,,Slight,Many,Rare,Few,,,,,,,4240.00,,297.00,,848.00,,2798.00,212.00,42.00,42.00,256.00,,,5.60,400.00,0.0703,169.00,2.50,1.2
4948DI,838496,7,SNS,Milagro's Foal,5-May-20,11-May-20,6.00,ALIVE,Survivor,EQ-ANDALUSIAN,M,44.5,48,"1) Myopathy (suspect nutritional myodegeneration) 2) Diarrhea (etiology: open) (ddx: Clostridium difficile, Salmonella spp, Cryptosporidium spp, Equine Rotavirus, Clostridium perfringens) 3) Omphaloarteritis 4) Tendon laxity, bilateral pelvic limbs",No,No,335,BAR,101.8,120,36,2,2,,,>800,11.07,15.00,43.10,38.90,13.60,34.80,18.20,,Slight,,,,,,,,,,4540.00,,,,3786.00,,627.00,77.00,23.00,23.00,301.00,No,,7.90,500.00,0.0605,98.00,2.60,1.2
5634DE,699494,3,Healthy,Bermeer (Virtue's Colt 2019),5-Jun-19,10-Jun-19,5.00,ALIVE,Survivor,EQ-ARABIAN,M,,22,1) Healthy newborn,No,No,348,BAR,98.6,108,32,2,2,,,400-800,10.13,13.90,40.80,40.30,13.70,34.10,19.50,,Slight,,,Few,,,,,,,5270.00,,,,4047.00,,1186.00,5.00,21.00,5.00,334.00,,,4.00,300.00,0.0584,,,1.2
2062DE,699249,3,SNS,Vinceraii,9-May-19,15-May-19,6.00,ALIVE,Survivor,EQ-ARABIAN,F,37.5,24,"1) Severe flexor tendon laxity both hind limbs, improved. 2) Moderate tendon contracture both front limbs, improved. 3) Moderate right carpal, left carpal and right tarsal valgus (hind > front, and left front > right front). 4) Moderate left hind tarsal limb varus.",No,No,329,BAR,101.7,130,135,2,2,,,>800,10.65,14.80,43.20,40.60,13.90,34.30,18.30,,Slight,Many,Rare,,,,,,,,11020.00,,,,9709.00,,1168.00,99.00,11.00,22.00,326.00,,,5.00,400.00,0.0561,177.00,2.50,1.2
59549FS,684483,9,Septic,Paradise Wild 15 Filly,24-Mar-15,24-Mar-15,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,72,1) Sepsis; of unknown origin 2) Tachypnea; increased bronchovesicular sounds 3) Suspect Patent Urachus,No,,,QARH,101.7,140,72,,2,,,,8.96,13.10,32.60,36.40,14.60,40.20,19.70,,Slight,,,,,,,,,,5310.00,,478.00,"SLIGHT TOXICITY, FEW MODERATE TOXICITY",2921.00,,1752.00,159.00,,,26.00,,,6.30,300.00,0.7577,147.00,,1.3
76063EM,691415,7,SNS,Foal Of Glen Garra,30-Mar-17,4-Apr-17,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,58.1,1,"1) Clinically healthy foal born at VMTH 2) Anemia, mild",Yes,No,363,BAR,99.1,124,60,2,2,,,>800,8.09,11.10,33.00,40.80,13.70,33.60,18.20,,Slight,,,,,,,,,,10440.00,,313.00,,8874.00,,835.00,418.00,0.00,0.00,108.00,,,4.80,100.00,0.1685,172.00,1.70,1.3
1663CS,690604,6,SNS,Patronas Colt 16,6-Sep-16,27-Sep-16,21.00,ALIVE,Survivor,EQ-MIX/FRIESIAN/THOROUGHBRED,M,50,22,1) Failure of passive transfer,No,No,,BAR,100.3,120,32,1,2,,,<400,9.20,13.80,39.70,43.20,15.00,34.80,18.90,,Slight,,Rare,,,,,,,,12590.00,,,,10135.00,,2291.00,88.00,38.00,25.00,155.00,,,5.00,400.00,0.1219,158.00,3.60,1.3
71325EM,685546,4,SNS,Arashi's 15 Filly,29-Apr-15,1-May-15,2.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,62,54.5,1) Edema over the right olecranon,,No,344,BAR,101.9,104,28,1,2,,,>800,9.16,11.50,29.00,31.70,12.60,39.70,19.80,,Slight,Few,,,,,,,,,10050.00,,,,8321.00,,1317.00,342.00,40.00,30.00,192.00,,,6.50,500.00,0.1031,171.00,1.60,1.3
77823FS,842350,0,Healthy,Big Brown Colt 2021,15-Apr-21,15-Apr-21,0.00,ALIVE,Survivor,EQ-MIX/CONNEMARA PONY,M,,11,1) Apparently systemically healthy newborn foal 2) Straining to defecate (soapy water enema administered 4/15/21),No,,,BAR,100.3,140,30,2,2,,,>800,9.18,13.10,40.20,43.80,14.20,32.50,18.00,,slight,moderate,,few,,,,,,,7600.00,,,,5690.00,,1770.00,80.00,20.00,30.00,205.00,no,,5.20,200.00,0.0878,,,1.3
59888FS,685785,2,Healthy,River Ella 15 Colt,8-May-15,8-May-15,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,38,1) Contracture of fore and hind limbs,No,,,BARH,102.1,96,70,<2,2,,,400-800,9.80,15.70,39.90,40.70,16.00,39.30,18.40,,Slight,Many,Rare,,,,,,,,8230.00,,,,6354.00,,1712.00,140.00,16.00,8.00,215.00,,,6.10,300.00,0.0856,,,1.3
73931EM,688535,1,SNS,Bella Noche,1-May-16,3-May-16,2.00,ALIVE,Survivor,EQ-FRIESIAN,F,46,72,1) Dehydration - resolved,No,No,327,BAR,101.9,128,84,2,2,,,>800,10.69,14.80,45.80,42.80,13.80,32.30,18.50,,Slight,Moderate,,,,,,,,,6820.00,,,,4876.00,,1507.00,416.00,7.00,14.00,218.00,,,6.70,200.00,0.0849,206.00,2.30,1.3
74949FS,838357,3,Healthy,Shemariah's Foal 2020,1-Apr-20,1-Apr-20,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,24,1) Apparently Healthy Neonate 2) Bilateral hind fetlock contracture R>L,No,,,BAR,100.9,118,64,2,2,,,>800,9.14,14.20,39.30,43.00,15.50,36.10,18.20,,Slight,Few,,Few,,,,,,,4490.00,,,,3053.00,,1392.00,45.00,0.00,0.00,215.00,No,,6.40,400.00,0.0847,,,1.3
7534CY,694641,3,SNS,Dinero,6-Mar-18,7-Mar-18,1.00,EUTH,Non-Survivor,EQ-QUARTER HORSE],F,,36,1) Atresia coli (Type IV),,,,BAR,100.6,106,30,1,2,,,>800,8.87,12.10,37.50,42.30,13.60,32.30,18.80,,Slight,,Rare,,,,,,,,9020.00,,361.00,,7577.00,,631.00,451.00,0.00,0.00,226.00,,,5.80,300.00,0.0832,137.00,2.30,1.3
9995CY,695661,13,Septic,Shylah Filly,26-Mar-18,5-Apr-18,10.00,EUTH,Non-Survivor,EQ-AMERICAN MINIATURE,F,14,10,"1) Occipitoatlantoaxial malformation, severe 2) Hypoxic ischemic encephalopathy, resolving 3) Sepsis, resolved",,,,Obtunded,102.1,84,32,3,1,1, Actino. equuli ss equuli,<400,12.31,17.50,51.90,42.20,14.20,33.70,18.30,,Slight,Many,Rare,Rare,Few Ovalocytes,,,,,,4140.00,,497.00,,2277.00,,994.00,331.00,41.00,0.00,221.00,,,5.60,400.00,0.0828,88.00,3.60,1.3
79284EM,695901,2,SNS,Coco Filly 2018,4-May-18,6-May-18,2.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,50,48,1) Meconium retention,No,,,BAR,101.3,82,48,1,2,,,827,7.79,10.90,32.10,41.20,14.00,34.00,18.30,,Slight,Few,Rare,,,,,,,,4990.00,,,,3688.00,,1138.00,125.00,35.00,10.00,231.00,,,4.10,200.00,0.0792,177.00,1.50,1.3
73505FS,837004,6,SNS,Almohada Colt 2019,23-Sep-19,23-Sep-19,0.00,ALIVE,Survivor,EQ-ARABIAN,M,27,7,1) Orphan foal 2) Failure of passive transfer,,No,347,BAR,98.3,115,60,2,2,,,,7.19,10.20,29.30,40.80,14.20,34.80,18.40,,,,,,,,,,,,4640.00,,186.00,,3341.00,,835.00,278.00,0.00,0.00,277.00,,,3.80,300.00,0.0664,139.00,3.40,1.3
75107FS,839470,0,Healthy,All That Yellow 2020 Filly,1-May-20,1-May-20,0.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,F,,14,1) Healthy Filly,No,No,362,BAR,100.6,80,40,1,2,,,,9.93,13.20,39.00,39.30,13.30,33.80,17.40,,Slight,,,Rare,,,,,,,9050.00,,,,6969.00,,1801.00,208.00,18.00,63.00,262.00,No,,6.20,200.00,0.0664,,,1.3
1820DJ,839067,0,Healthy,Sylvie's Foal 2020,13-Jul-20,14-Jul-20,1.00,ALIVE,Survivor,EQ-OLDENBURG,M,,15,1) Healthy colt born in hospital,No,No,339,BAR,101.6,100,80,2,2,,,>800,9.82,13.70,39.50,40.20,14.00,34.70,18.80,,Slight,Many,,,,,,,,,7660.00,,,,5668.00,,1685.00,306.00,0.00,0.00,299.00,No,,5.50,300.00,0.0629,,,1.3
1649DE,699113,2,SNS,Fancy Bingo Star Filly 2019,7-May-19,9-May-19,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,47.4,15,1) Mild maladjustment,No,,,BAR,99.9,96,24,2,1,2,No Growth,>800,9.65,14.70,43.10,44.70,15.20,34.10,17.40,,Slight,Moderate,Rare,Rare,,,,,,,11460.00,,,,9569.00,,1742.00,115.00,11.00,23.00,315.00,,,4.90,300.00,0.0552,121.00,3.70,1.3
71981EM,686496,3,SNS,Shaklaneca '15 Filly,17-Jul-15,26-Jul-15,9.00,ALIVE,Survivor,EQ-ARABIAN,F,19.8,9,1) Dysmaturity,,No,340,BARH,100.8,176,40,1,2,,,,9.10,11.10,29.80,32.70,12.20,37.20,20.10,,Slight,Many,,,,,,,,,8660.00,,173.00,SLIGHT TOXICITY,7448.00,,606.00,433.00,0.00,0.00,421.00,,,5.80,200.00,0.0477,120.00,2.60,1.3
293CZ,695733,3,SNS,Welcome Guest 18 Filly,28-Mar-18,31-Mar-18,3.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,65,29,"1) Multifocal swelling/edema/effusion fetlocks, pasterns and tarsi (resolved)",,No,,BAR,101.2,96,36,1,1,2,No Growth,>800,8.44,11.20,32.00,37.90,13.30,35.00,19.80,,Slight,Few,,,,,,,,,5120.00,,,,4403.00,,543.00,113.00,5.00,51.00,106.00,,,5.80,200.00,0.1868,166.00,1.50,1.4
636CH,681985,18,Septic,Buttons,11-Apr-14,25-Apr-14,14.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,26.2,29.5,1) Dysmature 2) Sepsis (resolved) 3) Partial incomplete ossification of tarsal bones 4) LH gastrocnemius rupture (medial head at the musculo-tendinous junction) 5) Bilateral pelvic limb laxity with LH fetlock varus,Yes,No,350,Alert,97.8,160,40,2,1,2,NO GROWTH,,7.49,10.20,30.10,40.20,13.60,33.90,17.60,,Slight,,,,,,,,,,2880.00,,172.00,SLIGHT TOXICITY,394.00,SLIGHT TOXICITY,640.00,25.00,0.00,0.00,130.00,,,5.40,200.00,0.1354,127.00,7.90,1.4
6756CL,685537,3,SNS,Kleary's M & M,19-Apr-15,23-Apr-15,4.00,ALIVE,Survivor,EQ-IRISH THOROUGHBRED (IR TB),M,70.2,40,1) High meconium impaction. 2) Neonatal maladjustment syndrome. 3) Pelvic limb laxity. 4) Mild thoracic limb contracture. 5) Suspect early sepsis.,,,,Quiet/dull with periods of increased energy,101.4,140,30,2,2,,,>800,8.61,12.30,32.20,37.40,14.30,38.20,18.20,,Slight,Few,,,,,,,,,6810.00,,,,4910.00,,1703.00,163.00,14.00,20.00,147.00,,,5.80,500.00,0.1238,182.00,,1.4
9294DD,698921,19,Septic,Blackie 2019 Foal,19-Apr-19,20-Apr-19,1.00,EUTH,Non-Survivor,EQ-MIX,F,28.8,48,Anorexia,,,,QAR,103.8,200,88,3,1,1," LARGE NUMBERS GRAM (+) COCCI IN CHAINS, GRAM (-) COCCOBACILLI AND LARGE GRAM (-) RODS. CULTURE: ACTINOBACILLUS EQUULI SS HEMOLYTICUS BV1, 2 COLONY TYPES STREPTOCOCCUS BOVIS-EQUINUS COMPLEX (BY MALDI-TOF)",<400,8.32,10.10,30.00,36.10,12.10,33.70,18.70,,Slight,Moderate,,Few,,Slight,,,,,6170.00,62.00,1851.00,,2345.00,,1604.00,309.00,0.00,0.00,178.00,,,3.50,400.00,0.1051,167.00,5.90,1.4
358CZ,695563,4,SNS,Golden Grails 2018,28-Mar-18,2-Apr-18,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,15,"1) Healthy foal 2) Moderate, distal laxity of all four limbs (HLs>FLs)",Yes,No,351,BAR,99,100,40,2,2,,,>800,9.86,14.10,41.00,41.60,14.30,34.40,18.30,,Slight,Moderate,Rare,,,,,,,,9900.00,,,,8316.00,,1475.00,89.00,0.00,20.00,190.00,,,6.20,200.00,0.0963,,,1.4
65448EM,677988,10,SNS,Trooper (Glory Colt 13),8-Jan-13,16-Jan-13,8.00,ALIVE,Survivor,EQ-TENNESSEE WALKING HORSE,M,33.4,18,1) Sepsis 2) Aspiration pneumonia 3) Septic arthritis bilateral tarsocrural joints 4) 1cm umbilical hernia,No,,,QAR,100.4,120,40,2-3s,1,2,NO GROWTH,>800,9.23,13.00,36.30,39.30,14.10,35.80,17.80,,Slight,Moderate,,,,,,,,,6430.00,,386.00,SLIGHT TOXIC,4887.00,,900.00,257.00,0.00,0.00,185.00,,,5.00,200.00,0.0962,125.00,2.20,1.4
9578CP,688580,8,SNS,Frosty's 16 Colt,21-Mar-16,26-Mar-16,5.00,ALIVE,Survivor,EQ-GYPSY COBB,M,41.4,12,1) Suspected HIE 2) Suspected sepsis 3) Uveitis OU 4) Failure of passive transfer - resolved,,No,331,Obtunded,101.4,104,52,2,1,2,No Growth,>800,11.07,15.10,43.10,38.90,13.60,35.00,18.30,,Slight,Many,Rare,,,,,,,,9000.00,,,,7488.00,,1197.00,261.00,9.00,36.00,212.00,,,4.90,300.00,0.0863,160.00,4.10,1.4
6875DM,842264,4,SNS,Slice's 2021 Filly,23-Apr-21,28-Apr-21,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,1,1) healthy filly born in hospital 2) bilateral hind fetlocks laxity - improving 3) left hind cannon bone laceration - repaired under injectable GA,No,No,335,BAR,100.3,80,60,3,2,,,>800,10.65,14.90,44.50,41.80,14.00,33.60,18.30,,slight,few,,,,,,,,,11330.00,,397.00,few slight toxicity,9970.00,,906.00,57.00,0.00,0.00,218.00,no,,7.90,100.00,0.0839,,,1.4
79028EM,695590,8,SNS,Guanahani's Foal,8-Apr-18,15-Apr-18,7.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,65,12,"1) Hypoxia ischemia encephalopathy, mild 2) Degenerative left shift 3) Left metatarsophalangeal varus, moderate 4) Left metatarsophalangeal contracture, moderate 5) Right metatarsophalangeal valgus, mild",Yes,No,367,BAR,101,100,30,1,2,,,>800,9.37,13.20,37.90,40.40,14.10,34.80,18.80,,Slight,Moderate,Rare,Few,,,,,,,11780.00,,471.00,,9306.00,,1767.00,236.00,0.00,0.00,226.00,,,6.40,300.00,0.0832,164.00,,1.4
2091CR,689197,2,SNS,Sunny's Foal,21-Jun-16,23-Jun-16,2.00,EUTH,Non-Survivor,EQ-TENNESSEE WALKING HORSE,M,,31,1) Grade V/VI Systolic Heart murmur; 2) Incomplete Atrial Septum 3) Tricuspid Dysplagia 4) Right sided heart enlargement 5) Right to left shunt 6) Pharyngeal weakness 7) Aspiration pneumonia,No,,,BAR,100.3,102,42,<2,1,2,No Growth,>800,10.94,14.10,43.30,39.60,12.90,32.60,20.00,,Slight,Many,,,,,,,,,7890.00,,,,6983.00,FEW SLIGHT TOXICITY,787.00,47.00,63.00,8.00,245.00,,,4.90,300.00,0.0816,122.00,2.10,1.4
8616CY,695427,5,SNS,Lady's Dance 2018 Foal,14-Mar-18,18-Mar-18,4.00,ALIVE,Survivor,EQ-ARABIAN,F,32.7,7,1) Hypoxic ischemic encephalopathy. 2) Failure of passive transfer.,No,No,342,BAR,99.2,100,36,3,1,2,No Growth,400,10.65,13.20,41.50,39.00,12.40,31.80,18.30,,Slight,Moderate,,Few,,Moderate,,,,,9100.00,,,,7662.00,,1356.00,55.00,0.00,27.00,226.00,,,4.20,200.00,0.0810,32.00,1.90,1.4
7354CU,691608,6,SNS,Lily (Filly 2017),15-Apr-17,16-Apr-17,1.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,41,24,"1) Failure of passive transfer, partial 2) Sepsis",,No,348,QAR,101.9,76,52,1,2,,,400-800,11.12,15.50,45.00,40.50,13.90,34.40,18.80,,Slight,Moderate,,,,,,,,,7760.00,,,,6379.00,,1141.00,194.00,8.00,39.00,234.00,,,5.90,400.00,0.0803,135.00,2.90,1.4
7367DC,697934,1,Healthy,Keep Active Filly 2019,21-Jan-19,22-Jan-19,1.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,56.2,48,1) Healthy orphan filly.,No,,,BAR,99.8,96,48,2,2,,,>800,6.87,10.10,29.80,43.40,14.70,33.90,17.50,,Slight,,,,,,,,,,7680.00,,,,7066.00,,461.00,138.00,8.00,0.00,221.00,,,6.50,300.00,0.0792,159.00,2.90,1.4
66825EM,679454,3,Healthy,Charleston,3-Aug-13,7-Aug-13,4.00,ALIVE,Survivor,EQ-HOLSTEINER,M,54,20.5,1) Healthy foal,No,No,324,BAR,100.8,112,56,<2,2,,,>800,11.52,16.50,47.20,41.00,14.30,35.00,17.30,,Slight,,,,,,,,,,9580.00,,96.00,,7664.00,,1724.00,0.00,0.00,96.00,224.00,,,5.40,300.00,0.0772,180.00,,1.4
